iter	RMSE
0	64.35192131
1	62.04492318
2	59.88560428
3	57.79054269
4	55.76575363
5	53.85807985
6	51.98475476
7	50.12790402
8	48.41297035
9	46.7026221
10	45.03655411
11	43.48338754
12	41.96309248
13	40.51638173
14	39.09114201
15	37.74056289
16	36.50899943
17	35.27516562
18	34.07618908
19	32.93737699
20	31.8163023
21	30.78824184
22	29.74629547
23	28.75954453
24	27.80904237
25	26.84945892
26	25.96389128
27	25.11970571
28	24.28845628
29	23.48226388
30	22.71228195
31	21.98542754
32	21.26328363
33	20.57138897
34	19.92329443
35	19.28884467
36	18.6653567
37	18.06248928
38	17.48113065
39	16.9312737
40	16.38177411
41	15.90952487
42	15.41313376
43	14.94021928
44	14.49374643
45	14.05469034
46	13.61528477
47	13.19637862
48	12.81520719
49	12.44150551
50	12.08001087
51	11.73153284
52	11.3830343
53	11.05538991
54	10.72844878
55	10.43508679
56	10.14834871
57	9.867183883
58	9.604247489
59	9.337166627
60	9.087955125
61	8.849021438
62	8.614851903
63	8.394658744
64	8.171346099
65	7.953688227
66	7.749425305
67	7.551282705
68	7.371946919
69	7.190626959
70	7.015615426
71	6.851996864
72	6.687913049
73	6.535192751
74	6.392282115
75	6.254351798
76	6.11502856
77	5.978216288
78	5.85128822
79	5.728605142
80	5.611504334
81	5.49353993
82	5.38021438
83	5.269641426
84	5.174386757
85	5.071950971
86	4.974888016
87	4.887841511
88	4.795586693
89	4.716521293
90	4.63898612
91	4.555491835
92	4.475029946
93	4.403910079
94	4.328759291
95	4.255906905
96	4.182030707
97	4.118082592
98	4.057917202
99	3.988618868
100	3.929579142
101	3.869120364
102	3.819328018
103	3.76800393
104	3.71505112
105	3.661850508
106	3.611532147
107	3.569137252
108	3.520541772
109	3.476645824
110	3.428252265
111	3.387265802
112	3.345870601
113	3.300776145
114	3.259780298
115	3.224786269
116	3.187324517
117	3.155210033
118	3.12273121
119	3.08971087
120	3.055647726
121	3.023437238
122	2.993439619
123	2.960936676
124	2.93340783
125	2.906208612
126	2.872955264
127	2.848042616
128	2.823027619
129	2.79566351
130	2.77031938
131	2.744672119
132	2.721747915
133	2.696150949
134	2.673369374
135	2.649568813
136	2.628193303
137	2.604965068
138	2.58391908
139	2.564792592
140	2.545274432
141	2.526525875
142	2.509427908
143	2.494368701
144	2.474629988
145	2.458209354
146	2.441862077
147	2.425321774
148	2.410196479
149	2.395527109
150	2.382176371
151	2.366177823
152	2.350446938
153	2.338656839
154	2.324551774
155	2.311886402
156	2.296373432
157	2.282444758
158	2.269833878
159	2.257452095
160	2.24404974
161	2.232213751
162	2.220443224
163	2.210607984
164	2.197238778
165	2.185807541
166	2.176697653
167	2.167145006
168	2.156560071
169	2.148347206
170	2.137219838
171	2.127179972
172	2.11707005
173	2.109411776
174	2.10038719
175	2.090389527
176	2.080719732
177	2.070564795
178	2.061510272
179	2.054189347
180	2.045057203
181	2.036788428
182	2.029288855
183	2.02280324
184	2.015317289
185	2.007048474
186	1.999027611
187	1.991445405
188	1.98461604
189	1.976123171
190	1.969152627
191	1.963331115
192	1.95638441
193	1.949118784
194	1.942978595
195	1.936090678
196	1.931176412
197	1.925420944
198	1.919511008
199	1.914064688
200	1.908282887
201	1.90111872
202	1.893884575
203	1.889303655
204	1.884454487
205	1.879832499
206	1.875512801
207	1.869785327
208	1.863908117
209	1.859950995
210	1.854100246
211	1.847278662
212	1.840484443
213	1.83559194
214	1.829443318
215	1.822768768
216	1.817340863
217	1.812363827
218	1.807660745
219	1.804081928
220	1.796895904
221	1.792278761
222	1.785865356
223	1.779974722
224	1.775356359
225	1.771438632
226	1.765851046
227	1.760166948
228	1.756892776
229	1.753017543
230	1.745490143
231	1.742125645
232	1.737633252
233	1.732864922
234	1.725797472
235	1.721156524
236	1.716220111
237	1.71072836
238	1.706693667
239	1.703169321
240	1.699525203
241	1.694584223
242	1.69126623
243	1.684701661
244	1.678736435
245	1.674711555
246	1.668455045
247	1.664213583
248	1.661063511
249	1.655796082
250	1.650527426
251	1.646370781
252	1.642141622
253	1.63877209
254	1.633610772
255	1.627269893
256	1.622102737
257	1.616845128
258	1.612088318
259	1.605852164
260	1.602415615
261	1.596810981
262	1.592559529
263	1.588240547
264	1.584105393
265	1.579813433
266	1.574720214
267	1.569733887
268	1.564114217
269	1.559101731
270	1.554652207
271	1.550186379
272	1.545642818
273	1.540141156
274	1.536861649
275	1.533136974
276	1.528720859
277	1.524239306
278	1.520302198
279	1.514126936
280	1.511413331
281	1.508012508
282	1.502738264
283	1.500704164
284	1.497870521
285	1.491368339
286	1.485369047
287	1.480273575
288	1.476130949
289	1.47095194
290	1.467289352
291	1.464607015
292	1.460264081
293	1.456565414
294	1.453396822
295	1.450537181
296	1.446084574
297	1.441367614
298	1.437157868
299	1.433957713
300	1.428843674
301	1.424491348
302	1.421172385
303	1.417279599
304	1.415480241
305	1.411671725
306	1.409003193
307	1.405359845
308	1.401242525
309	1.398081439
310	1.393391754
311	1.390274843
312	1.384180598
313	1.381179535
314	1.378485676
315	1.374973729
316	1.370956765
317	1.365575241
318	1.362204626
319	1.359262392
320	1.357193248
321	1.354054776
322	1.349014673
323	1.345725538
324	1.344057673
325	1.338530975
326	1.332554899
327	1.330261773
328	1.325947761
329	1.323406855
330	1.319981226
331	1.317223691
332	1.313734887
333	1.30998227
334	1.306524519
335	1.302723355
336	1.301034839
337	1.297642858
338	1.294819188
339	1.291447318
340	1.287861963
341	1.284795511
342	1.28246256
343	1.279826037
344	1.277290292
345	1.27212704
346	1.268918057
347	1.264983581
348	1.262738785
349	1.259164692
350	1.256490093
351	1.253260684
352	1.249131554
353	1.246605265
354	1.24408805
355	1.2399461
356	1.238114678
357	1.234614073
358	1.230988518
359	1.226797083
360	1.224954697
361	1.219963661
362	1.216945842
363	1.213449916
364	1.209440544
365	1.204742786
366	1.201809472
367	1.197577839
368	1.195986049
369	1.191556428
370	1.189083816
371	1.186395852
372	1.183316296
373	1.181144245
374	1.179917885
375	1.177390634
376	1.174108931
377	1.171947245
378	1.168280447
379	1.165843378
380	1.162737711
