iter	Passed	Remaining
0	4	4653
1	8	4259
2	12	4301
3	17	4405
4	22	4544
5	27	4550
6	31	4510
7	36	4488
8	40	4499
9	45	4477
10	49	4472
11	55	4547
12	60	4557
13	64	4558
14	69	4566
15	75	4616
16	79	4622
17	84	4617
18	89	4643
19	94	4653
20	99	4655
21	104	4664
22	109	4638
23	114	4643
24	118	4621
25	123	4625
26	127	4605
27	132	4604
28	137	4614
29	143	4628
30	148	4637
31	153	4637
32	159	4670
33	164	4672
34	169	4666
35	174	4672
36	180	4699
37	186	4714
38	192	4739
39	198	4763
40	204	4774
41	210	4799
42	216	4821
43	222	4832
44	228	4847
45	234	4857
46	240	4877
47	246	4891
48	253	4914
49	259	4928
50	265	4944
51	271	4953
52	278	4975
53	284	4990
54	291	5014
55	298	5033
56	304	5031
57	309	5032
58	315	5034
59	321	5040
60	328	5050
61	334	5060
62	341	5074
63	347	5077
64	353	5091
65	360	5095
66	365	5093
67	371	5092
68	377	5096
69	383	5100
70	389	5101
71	396	5104
72	402	5117
73	409	5126
74	416	5130
75	422	5135
76	429	5143
77	436	5156
78	442	5162
79	448	5163
80	455	5166
81	461	5169
82	468	5172
83	475	5189
84	481	5188
85	488	5196
86	495	5200
87	502	5207
88	508	5209
89	515	5214
90	522	5214
91	527	5209
92	534	5212
93	540	5205
94	546	5210
95	552	5204
96	558	5202
97	564	5199
98	571	5201
99	577	5198
100	584	5198
101	590	5201
102	597	5203
103	603	5202
104	610	5205
105	617	5204
106	623	5203
107	629	5195
108	635	5193
109	641	5189
110	647	5187
111	654	5192
112	661	5189
113	667	5185
114	675	5199
115	682	5204
116	689	5201
117	695	5201
118	702	5198
119	708	5197
120	715	5197
121	721	5195
122	727	5189
123	733	5183
124	739	5175
125	745	5170
126	751	5165
127	757	5159
128	763	5156
129	770	5153
130	776	5151
131	782	5144
132	787	5135
133	793	5129
134	799	5123
135	805	5119
136	811	5110
137	816	5102
138	823	5099
139	829	5095
140	836	5096
141	843	5096
142	849	5093
143	857	5094
144	862	5088
145	869	5084
146	875	5082
147	882	5081
148	888	5075
149	895	5073
150	901	5070
151	908	5067
152	915	5070
153	923	5071
154	930	5071
155	937	5070
156	943	5067
157	950	5065
158	957	5062
159	963	5058
160	970	5058
161	977	5058
162	984	5057
163	990	5048
164	996	5042
165	1002	5037
166	1009	5033
167	1014	5026
168	1021	5022
169	1027	5014
170	1033	5012
171	1039	5006
172	1045	4999
173	1051	4990
174	1057	4983
175	1063	4977
176	1068	4967
177	1074	4962
178	1080	4955
179	1086	4947
180	1092	4944
181	1099	4941
182	1105	4934
183	1112	4935
184	1119	4930
185	1125	4925
186	1131	4919
187	1136	4910
188	1143	4907
189	1150	4903
190	1156	4899
191	1163	4894
192	1169	4890
193	1175	4884
194	1182	4880
195	1188	4876
196	1195	4872
197	1201	4868
198	1209	4867
199	1215	4862
200	1222	4858
201	1228	4854
202	1235	4850
203	1241	4844
204	1248	4842
205	1255	4838
206	1262	4836
207	1268	4831
208	1275	4828
209	1282	4825
210	1289	4822
211	1295	4815
212	1301	4810
213	1308	4806
214	1315	4802
215	1321	4796
216	1327	4788
217	1333	4783
218	1339	4778
219	1345	4771
220	1351	4764
221	1357	4758
222	1363	4750
223	1369	4745
224	1375	4738
225	1381	4732
226	1387	4726
227	1394	4721
228	1400	4715
229	1406	4710
230	1413	4703
231	1418	4697
232	1425	4692
233	1431	4686
234	1437	4678
235	1443	4672
236	1448	4664
237	1454	4657
238	1461	4652
239	1466	4644
240	1473	4639
241	1479	4632
242	1485	4628
243	1491	4622
244	1497	4615
245	1503	4608
246	1509	4601
247	1515	4596
248	1522	4590
249	1527	4583
250	1533	4577
251	1539	4570
252	1546	4566
253	1553	4561
254	1559	4555
255	1565	4548
256	1571	4542
257	1578	4538
258	1584	4532
259	1590	4526
260	1596	4520
261	1602	4515
262	1608	4508
263	1615	4502
264	1621	4496
265	1627	4490
266	1633	4484
267	1639	4478
268	1645	4471
269	1651	4466
270	1658	4460
271	1664	4455
272	1671	4451
273	1678	4446
274	1684	4441
275	1690	4435
276	1696	4428
277	1702	4421
278	1708	4416
279	1715	4411
280	1721	4405
281	1727	4399
282	1734	4394
283	1741	4389
284	1747	4383
285	1753	4377
286	1760	4372
287	1766	4365
288	1771	4359
289	1777	4352
290	1783	4346
291	1790	4341
292	1796	4334
293	1801	4327
294	1808	4321
295	1814	4315
296	1820	4308
297	1825	4300
298	1831	4294
299	1838	4289
300	1844	4282
301	1850	4277
302	1857	4271
303	1863	4266
304	1869	4260
305	1876	4255
306	1882	4248
307	1888	4242
308	1895	4239
309	1903	4236
310	1910	4232
311	1917	4228
312	1924	4223
313	1930	4218
314	1937	4212
315	1943	4206
316	1950	4201
317	1956	4196
318	1963	4191
319	1969	4184
320	1975	4178
321	1981	4173
322	1988	4167
323	1994	4160
324	2000	4155
325	2006	4148
326	2012	4141
327	2018	4135
328	2024	4128
329	2030	4122
330	2036	4116
331	2042	4109
332	2048	4103
333	2055	4097
334	2061	4091
335	2067	4085
336	2074	4080
337	2080	4073
338	2086	4067
339	2091	4060
340	2097	4054
341	2103	4046
342	2110	4042
343	2116	4036
344	2123	4030
345	2129	4024
346	2135	4018
347	2141	4012
348	2147	4006
349	2154	4001
350	2161	3995
351	2167	3990
352	2173	3983
353	2180	3979
354	2187	3973
355	2193	3967
356	2199	3961
357	2205	3954
358	2211	3948
359	2217	3942
360	2224	3937
361	2229	3930
362	2235	3923
363	2241	3917
364	2247	3909
365	2253	3903
366	2259	3897
367	2265	3891
368	2272	3885
369	2278	3878
370	2283	3872
371	2289	3865
372	2295	3858
373	2302	3853
374	2308	3847
375	2313	3840
376	2319	3833
377	2326	3827
378	2331	3820
379	2337	3813
380	2343	3807
381	2349	3801
382	2355	3794
383	2361	3788
384	2372	3789
385	2381	3788
386	2390	3785
387	2398	3783
388	2406	3779
389	2414	3775
390	2421	3771
391	2428	3766
392	2437	3764
393	2444	3759
394	2450	3753
395	2456	3747
396	2462	3740
397	2468	3733
398	2474	3727
399	2480	3721
400	2486	3714
401	2492	3707
402	2499	3702
403	2505	3696
404	2512	3690
405	2518	3685
406	2524	3678
407	2530	3671
408	2536	3664
409	2542	3658
410	2548	3651
411	2554	3645
412	2560	3639
413	2566	3632
414	2572	3626
415	2579	3620
416	2585	3615
417	2591	3608
418	2598	3602
419	2603	3595
420	2610	3589
421	2616	3583
422	2622	3577
423	2627	3569
424	2633	3562
425	2639	3556
426	2645	3550
427	2652	3544
428	2658	3537
429	2664	3531
430	2669	3524
431	2675	3518
432	2681	3511
433	2687	3505
434	2694	3499
435	2700	3493
436	2706	3486
437	2712	3480
438	2717	3473
439	2724	3467
440	2730	3461
441	2736	3454
442	2742	3448
443	2748	3441
444	2754	3435
445	2761	3430
446	2767	3423
447	2773	3416
448	2779	3410
449	2785	3404
450	2791	3398
451	2797	3391
452	2803	3385
453	2809	3379
454	2815	3372
455	2821	3365
456	2827	3359
457	2833	3353
458	2840	3347
459	2846	3341
460	2852	3335
461	2858	3329
462	2866	3324
463	2873	3319
464	2880	3314
465	2887	3309
466	2894	3303
467	2900	3296
468	2905	3289
469	2911	3283
470	2918	3277
471	2924	3271
472	2930	3264
473	2936	3258
474	2942	3252
475	2948	3246
476	2955	3240
477	2961	3233
478	2967	3227
479	2973	3221
480	2979	3214
481	2986	3209
482	2992	3203
483	2999	3197
484	3005	3191
485	3010	3184
486	3016	3177
487	3023	3171
488	3029	3165
489	3034	3158
490	3040	3151
491	3046	3145
492	3053	3139
493	3059	3133
494	3064	3126
495	3070	3119
496	3076	3113
497	3081	3106
498	3088	3100
499	3094	3094
500	3099	3087
501	3106	3081
502	3111	3074
503	3117	3068
504	3124	3062
505	3129	3055
506	3135	3049
507	3141	3042
508	3148	3037
509	3155	3031
510	3160	3024
511	3166	3018
512	3173	3012
513	3179	3005
514	3185	2999
515	3191	2993
516	3197	2987
517	3203	2980
518	3209	2974
519	3216	2969
520	3222	2963
521	3229	2956
522	3235	2951
523	3241	2944
524	3248	2939
525	3255	2933
526	3262	2927
527	3269	2922
528	3275	2916
529	3282	2910
530	3288	2904
531	3294	2898
532	3301	2892
533	3307	2886
534	3314	2880
535	3321	2875
536	3328	2869
537	3334	2863
538	3341	2857
539	3347	2851
540	3353	2845
541	3360	2839
542	3367	2834
543	3373	2827
544	3380	2822
545	3387	2816
546	3394	2810
547	3400	2804
548	3406	2798
549	3412	2791
550	3418	2785
551	3424	2778
552	3429	2772
553	3435	2765
554	3441	2759
555	3448	2753
556	3453	2746
557	3459	2740
558	3466	2734
559	3472	2728
560	3480	2723
561	3487	2717
562	3494	2712
563	3500	2706
564	3507	2700
565	3514	2694
566	3520	2688
567	3527	2683
568	3533	2676
569	3540	2671
570	3547	2665
571	3553	2659
572	3560	2653
573	3567	2647
574	3573	2641
575	3580	2635
576	3586	2629
577	3593	2623
578	3601	2618
579	3608	2613
580	3615	2607
581	3622	2601
582	3628	2595
583	3636	2590
584	3642	2584
585	3650	2578
586	3657	2573
587	3664	2567
588	3670	2560
589	3677	2555
590	3684	2550
591	3692	2544
592	3699	2539
593	3707	2534
594	3715	2529
595	3722	2523
596	3729	2517
597	3736	2511
598	3742	2505
599	3749	2499
600	3756	2493
601	3763	2487
602	3769	2481
603	3776	2475
604	3782	2469
605	3789	2463
606	3795	2457
607	3802	2451
608	3808	2445
609	3815	2439
610	3822	2433
611	3827	2426
612	3834	2420
613	3842	2415
614	3849	2409
615	3856	2404
616	3864	2398
617	3871	2392
618	3877	2386
619	3884	2380
620	3890	2374
621	3896	2368
622	3903	2362
623	3909	2355
624	3916	2349
625	3922	2343
626	3929	2337
627	3935	2331
628	3942	2325
629	3948	2319
630	3954	2312
631	3961	2306
632	3968	2300
633	3974	2294
634	3981	2288
635	3988	2282
636	3994	2276
637	4001	2270
638	4008	2264
639	4014	2258
640	4020	2251
641	4027	2245
642	4034	2239
643	4040	2233
644	4047	2227
645	4054	2221
646	4061	2215
647	4068	2210
648	4074	2203
649	4081	2197
650	4087	2191
651	4094	2185
652	4100	2178
653	4106	2172
654	4113	2166
655	4120	2160
656	4126	2154
657	4133	2148
658	4139	2141
659	4145	2135
660	4152	2129
661	4158	2123
662	4165	2117
663	4172	2111
664	4178	2105
665	4185	2099
666	4191	2092
667	4198	2086
668	4205	2080
669	4211	2074
670	4218	2068
671	4224	2061
672	4231	2055
673	4237	2049
674	4244	2043
675	4250	2037
676	4256	2030
677	4263	2024
678	4269	2018
679	4275	2012
680	4282	2005
681	4288	1999
682	4295	1993
683	4301	1987
684	4308	1981
685	4315	1975
686	4322	1969
687	4328	1963
688	4335	1956
689	4340	1950
690	4347	1943
691	4353	1937
692	4359	1931
693	4365	1924
694	4372	1918
695	4378	1912
696	4385	1906
697	4391	1900
698	4398	1894
699	4405	1888
700	4412	1882
701	4418	1875
702	4425	1869
703	4432	1863
704	4438	1857
705	4445	1851
706	4452	1845
707	4458	1838
708	4465	1832
709	4471	1826
710	4478	1820
711	4484	1814
712	4491	1807
713	4497	1801
714	4504	1795
715	4511	1789
716	4518	1783
717	4525	1777
718	4531	1770
719	4538	1764
720	4544	1758
721	4551	1752
722	4557	1746
723	4564	1740
724	4570	1733
725	4577	1727
726	4583	1721
727	4589	1714
728	4596	1708
729	4603	1702
730	4610	1696
731	4616	1690
732	4623	1684
733	4630	1677
734	4636	1671
735	4642	1665
736	4648	1658
737	4655	1652
738	4661	1646
739	4668	1640
740	4674	1633
741	4680	1627
742	4687	1621
743	4693	1615
744	4700	1608
745	4706	1602
746	4713	1596
747	4719	1589
748	4726	1583
749	4731	1577
750	4737	1570
751	4744	1564
752	4750	1558
753	4756	1551
754	4762	1545
755	4768	1538
756	4773	1532
757	4779	1525
758	4785	1519
759	4792	1513
760	4799	1507
761	4806	1501
762	4813	1495
763	4819	1488
764	4827	1483
765	4836	1477
766	4843	1471
767	4850	1465
768	4856	1458
769	4863	1452
770	4869	1446
771	4877	1440
772	4883	1434
773	4890	1427
774	4896	1421
775	4903	1415
776	4910	1409
777	4916	1402
778	4923	1396
779	4930	1390
780	4936	1384
781	4943	1378
782	4950	1371
783	4957	1365
784	4963	1359
785	4969	1352
786	4975	1346
787	4981	1340
788	4987	1333
789	4993	1327
790	5000	1321
791	5006	1314
792	5013	1308
793	5020	1302
794	5027	1296
795	5033	1289
796	5039	1283
797	5046	1277
798	5052	1270
799	5058	1264
800	5065	1258
801	5071	1252
802	5078	1245
803	5085	1239
804	5091	1233
805	5097	1227
806	5104	1220
807	5110	1214
808	5116	1208
809	5123	1201
810	5129	1195
811	5136	1189
812	5143	1182
813	5148	1176
814	5155	1170
815	5162	1164
816	5169	1157
817	5175	1151
818	5181	1145
819	5188	1138
820	5195	1132
821	5202	1126
822	5208	1120
823	5214	1113
824	5221	1107
825	5227	1101
826	5233	1094
827	5240	1088
828	5246	1082
829	5253	1075
830	5260	1069
831	5266	1063
832	5273	1057
833	5279	1050
834	5285	1044
835	5291	1038
836	5299	1031
837	5305	1025
838	5311	1019
839	5318	1012
840	5324	1006
841	5330	1000
842	5337	994
843	5344	987
844	5350	981
845	5356	975
846	5363	968
847	5370	962
848	5376	956
849	5382	949
850	5388	943
851	5395	937
852	5402	931
853	5408	924
854	5415	918
855	5421	912
856	5428	905
857	5435	899
858	5441	893
859	5446	886
860	5453	880
861	5460	874
862	5467	867
863	5473	861
864	5479	855
865	5485	848
866	5492	842
867	5499	836
868	5505	829
869	5512	823
870	5518	817
871	5525	811
872	5531	804
873	5537	798
874	5544	792
875	5550	785
876	5556	779
877	5563	773
878	5569	766
879	5576	760
880	5582	754
881	5588	747
882	5595	741
883	5602	735
884	5608	728
885	5615	722
886	5621	716
887	5628	709
888	5635	703
889	5641	697
890	5648	690
891	5654	684
892	5660	678
893	5668	672
894	5674	665
895	5681	659
896	5687	653
897	5694	646
898	5700	640
899	5707	634
900	5714	627
901	5721	621
902	5727	615
903	5734	608
904	5740	602
905	5747	596
906	5753	589
907	5759	583
908	5766	577
909	5772	570
910	5779	564
911	5786	558
912	5792	551
913	5799	545
914	5806	539
915	5814	533
916	5822	526
917	5830	520
918	5837	514
919	5844	508
920	5850	501
921	5856	495
922	5863	489
923	5869	482
924	5876	476
925	5883	470
926	5890	463
927	5896	457
928	5903	451
929	5909	444
930	5916	438
931	5922	432
932	5929	425
933	5935	419
934	5942	413
935	5949	406
936	5956	400
937	5962	394
938	5968	387
939	5975	381
940	5982	375
941	5989	368
942	5997	362
943	6003	356
944	6010	349
945	6018	343
946	6025	337
947	6033	330
948	6040	324
949	6047	318
950	6054	311
951	6061	305
952	6068	299
953	6074	292
954	6081	286
955	6088	280
956	6095	273
957	6102	267
958	6109	261
959	6117	254
960	6124	248
961	6133	242
962	6140	235
963	6148	229
964	6155	223
965	6164	216
966	6171	210
967	6180	204
968	6187	197
969	6194	191
970	6202	185
971	6210	178
972	6217	172
973	6224	166
974	6232	159
975	6239	153
976	6246	147
977	6255	140
978	6262	134
979	6269	127
980	6277	121
981	6285	115
982	6292	108
983	6300	102
984	6308	96
985	6315	89
986	6323	83
987	6330	76
988	6338	70
989	6345	64
990	6352	57
991	6360	51
992	6368	44
993	6376	38
994	6383	32
995	6391	25
996	6399	19
997	6406	12
998	6413	6
999	6420	0
